2026-05-02 01:38:59 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 1, 'learning_rate': 0.002}
2026-05-02 01:39:02 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=5.980422e+00 final_test_mse=8.031744e+01
2026-05-02 01:39:03 | INFO | search_model_configurations | Saved search progress after 16 completed trials
2026-05-02 01:39:03 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 2, 'learning_rate': 0.0007}
2026-05-02 01:39:06 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=1.125577e-03 final_test_mse=8.676517e+01
2026-05-02 01:39:07 | INFO | search_model_configurations | Saved search progress after 17 completed trials
2026-05-02 01:39:07 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 3, 'learning_rate': 0.01}
2026-05-02 01:39:11 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=5.954226e+00 final_test_mse=8.843749e+01
2026-05-02 01:39:11 | INFO | search_model_configurations | Saved search progress after 18 completed trials
2026-05-02 01:39:11 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 4, 'learning_rate': 0.0007}
2026-05-02 01:39:14 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=1.631176e-01 final_test_mse=9.721535e+01
2026-05-02 01:39:15 | INFO | search_model_configurations | Saved search progress after 19 completed trials
2026-05-02 01:39:15 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 2, 'learning_rate': 0.05}
2026-05-02 01:39:19 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=4.239968e-03 final_test_mse=1.020569e+02
2026-05-02 01:39:20 | INFO | search_model_configurations | Saved search progress after 20 completed trials
2026-05-02 01:39:20 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 2, 'learning_rate': 1e-05}
2026-05-02 01:39:23 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=7.654890e+01 final_test_mse=8.591063e+01
2026-05-02 01:39:24 | INFO | search_model_configurations | Saved search progress after 21 completed trials
2026-05-02 01:39:24 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 3, 'learning_rate': 0.02}
2026-05-02 01:39:27 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=3.419365e-01 final_test_mse=9.784202e+01
2026-05-02 01:39:28 | INFO | search_model_configurations | Saved search progress after 22 completed trials
2026-05-02 01:39:28 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 3, 'learning_rate': 0.003}
2026-05-02 01:39:32 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=2.186961e-02 final_test_mse=1.021016e+02
2026-05-02 01:39:33 | INFO | search_model_configurations | Saved search progress after 23 completed trials
2026-05-02 01:39:33 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 3, 'learning_rate': 3e-05}
2026-05-02 01:39:37 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=3.212406e+01 final_test_mse=6.507585e+01
2026-05-02 01:39:37 | INFO | search_model_configurations | Saved search progress after 24 completed trials
2026-05-02 01:39:37 | INFO | search_model_configurations | Prepared 24/375 mlp trials for lag=32
2026-05-02 01:39:38 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 0, 'learning_rate': 0.05}
2026-05-02 01:39:41 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=3.594372e+01 final_test_mse=3.995453e+01
2026-05-02 01:39:42 | INFO | search_model_configurations | Saved search progress after 25 completed trials
2026-05-02 01:39:42 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 0, 'learning_rate': 0.0005}
2026-05-02 01:39:45 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=1.153360e+02 final_test_mse=1.212709e+02
2026-05-02 01:39:46 | INFO | search_model_configurations | Saved search progress after 26 completed trials
2026-05-02 01:39:46 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 2, 'learning_rate': 0.2}
2026-05-02 01:39:49 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=1.148938e+00 final_test_mse=9.243189e+01
2026-05-02 01:39:50 | INFO | search_model_configurations | Saved search progress after 27 completed trials
2026-05-02 01:39:50 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 3, 'learning_rate': 0.05}
2026-05-02 01:39:54 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=1.458675e-03 final_test_mse=9.844159e+01
2026-05-02 01:39:57 | INFO | search_model_configurations | Saved search progress after 28 completed trials
2026-05-02 01:39:57 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 3, 'learning_rate': 0.01}
2026-05-02 01:40:00 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=1.299094e+00 final_test_mse=1.080225e+02
2026-05-02 01:40:01 | INFO | search_model_configurations | Saved search progress after 29 completed trials
2026-05-02 01:40:01 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 4, 'learning_rate': 0.02}
