best_epoch,best_test_mse,epochs,final_test_mse,final_train_mse,hidden,lag,learning_rate,loss_history_npz,model_type,num_hidden_layers,num_layers
118,41.200242949695124,600,73.46693502286585,0.35546737909317017,64,32,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_64_layers_2_lr_0p001.npz,mlp,2,
600,154.4764767530488,600,154.4764767530488,140.91172790527344,64,32,1e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_64_layers_2_lr_1em05.npz,mlp,2,
42,42.1883574695122,600,85.21199504573171,4.929063288727775e-05,64,32,0.003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_64_layers_4_lr_0p003.npz,mlp,4,
43,39.989119664634146,600,93.56623475609756,0.01267512608319521,128,32,0.005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_128_layers_1_lr_0p005.npz,mlp,1,
95,39.545243426067074,600,66.37006478658536,4.003559589385986,128,32,0.002,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_128_layers_1_lr_0p002.npz,mlp,1,
600,39.74293302210366,600,39.74293302210366,31.9097900390625,128,32,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_128_layers_1_lr_0p0003.npz,mlp,1,
35,42.52434737042683,600,63.60541634908537,0.8937855958938599,128,32,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_128_layers_2_lr_0p1.npz,mlp,2,
22,50.15460175304878,600,80.43978658536585,0.0003733985940925777,256,32,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_256_layers_1_lr_0p1.npz,mlp,1,
13,44.248790015243905,600,84.44128239329268,0.04935918375849724,256,32,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_256_layers_1_lr_0p02.npz,mlp,1,
600,79.9885956554878,600,79.9885956554878,64.2753677368164,256,32,0.0001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_256_layers_1_lr_0p0001.npz,mlp,1,
57,59.4453125,600,78.01655392530488,7.0482916831970215,256,32,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_256_layers_4_lr_0p05.npz,mlp,4,
600,94.6056592987805,600,94.6056592987805,100.07306671142578,512,32,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_32_hidden_512_layers_0_lr_0p001.npz,mlp,0,
